id,question
467,"How could a doctor respond when a colleague behaves unprofessionally?"
468,"What do you think should happen if a doctor is not fit to work safely?"
469,"Why do you think raising concerns is sometimes difficult in healthcare?"
470,"Which responsibilities do junior staff have if they are worried about a senior colleague?"
471,"How would you explain what honesty means in medicine?"
472,"Why is trust especially important in the relationship between doctors and patients?"
473,"How would you respond if loyalty to a colleague came into conflict with protecting a patient?"
474,"Speak with a fellow student whose attendance at teaching has dropped. Explore what is happening and what support they might need."
475,"A friend has just failed an exam that mattered to them. Show how you would begin a supportive conversation."
476,"Tell someone that an event they were excited about has been cancelled, and respond to their reaction."
477,"A customer feels they have been treated unfairly and is angry. Demonstrate how you would listen and respond."
478,"Explain clearly a simple scientific concept to someone with no scientific background."
479,"Explain clearly how to use a common everyday object without demonstrating it."
480,"Speak with someone who is worried about an upcoming medical procedure. Explore their concerns and offer appropriate support."
481,"Talk with a patient's relative who is frustrated about the length of the hospital wait."
482,"Help someone explore a possible change to their lifestyle, giving them room to make their own decision."
483,"Have a conversation with someone who is unsure about vaccination. Find out what matters to them before responding."
484,"Show how you would support someone who has just heard upsetting news."
485,"Explain clearly why antibiotics may not be appropriate for a viral infection."
486,"Discuss a concern with a colleague whose behaviour has been causing difficulties for the team."
487,"You have made a mistake that affects someone else. Demonstrate how you would apologise and discuss what happens next."
488,"Give feedback to someone whose recent performance fell short, keeping the conversation constructive."
489,"Someone raises concerns about your performance. Demonstrate how you would listen, respond and decide what to do next."
490,"Help two people in a group talk through a disagreement and work towards a way forward."
491,"Talk someone through a complicated set of instructions so they can follow each step."
492,"Briefly describe the main trend shown in this graph."
493,"Which conclusions can reasonably be drawn from these data?"
494,"Which conclusions cannot be drawn from these data?"
495,"Which additional information would you want before making a decision?"
496,"Can you identify any unusual values or outliers?"
497,"In what ways could the graph be misleading?"
498,"Which factors could explain the observed trend?"
499,"Does this dataset show causation or simply an association?"
500,"How might you explain these results to a patient?"
501,"How might you explain these results to someone without a scientific background?"
502,"Which possible sources of bias can you identify?"
503,"To what extent is the sample size sufficient?"
504,"Which information would help you judge whether the study was reliable?"
505,"How could the media misrepresent these findings?"
506,"Which further research would you conduct?"
507,"Explain how you would rank a list of healthcare priorities and agree on a group decision."
508,"Work through allocating a limited NHS budget across several competing services."
509,"Your group must choose equipment for a survival exercise. Explain how you would compare suggestions and reach agreement."
510,"Plan a public-health campaign with a team."
511,"Work with a group to propose a practical way of reducing missed hospital appointments."
512,"Develop a brief plan to improve student wellbeing."
513,"Help a group choose practical steps to reduce a hospital's environmental impact."
514,"Prioritise how you would handle patients using limited information."
515,"Propose a focused change that could ease pressure on an emergency department, and discuss it with your group."
516,"Plan a short health-education programme for teenagers with your group."
517,"How would you decide which patients need attention most urgently, and communicate your reasoning?"
518,"Five tasks need attention, but you can deal with only three straight away. Explain how you would choose what to do now and what can wait."
519,"Several members of your team ask for help at once. How might you prioritise?"
520,"Several services are competing for a limited healthcare budget. How would you decide their relative priority?"
521,"Explain how you would rank several public-health interventions according to likely impact."
522,"When faced with an unfamiliar situation, how would you identify the information you need most urgently?"
523,"Prioritise how you would handle competing academic, personal and volunteering commitments."
524,"Explain how you would decide which patient-safety concern needs escalating first."
525,"Prioritise how you would handle responses during an emergency situation."
526,"Explain clearly how you would reassess your priorities if new information became available."
527,"Looking two centuries ahead, which responsibilities of doctors might have disappeared, and what might have taken their place?"
528,"Design a memorable event about medicine. What would people take part in, and what would you want them to take away?"
529,"Think of uses for a phone charger that have nothing to do with charging a phone."
530,"You have six months free from study, with your living costs covered. Describe a creative project or experience unrelated to medicine that you would pursue."
531,"Food, drinking water and shelter are available on an isolated island where you must stay. You can bring three more items. What would you choose, and why?"
532,"How would you assess whether the money spent taking people to the Moon was justified?"
533,"If you could solve one global problem overnight, which would you choose and why?"
534,"If you could have dinner with one historical figure, who would it be and why?"
535,"Briefly teach me something interesting in sixty seconds."
536,"Suggest five inventive uses for a paperclip beyond holding papers together."
537,"You can choose one modern technology for society to stop using. Which would you pick, and what might the consequences be?"
538,"Your community receives a fund of ten million pounds. What would you spend it on, and how would you justify those priorities?"
539,"Describe an opinion you once held strongly but later changed."
540,"Which invention do you think has changed humanity most significantly?"
541,"If you could redesign one part of healthcare from scratch, what would you change?"
542,"Briefly describe yourself in three words."
543,"What most motivates you?"
544,"How would you describe your greatest strength?"
545,"What would you say you are currently working to improve?"
546,"Which achievement means the most to you?"
547,"Who most inspires you?"
548,"What do you value most highly in a friend?"
549,"What tends to make you a good teammate?"
550,"What tends to make you a good leader?"
551,"How would you react to failure?"
552,"How would you respond to criticism?"
553,"What tends to make you stressed?"
554,"What usually helps you recover after a difficult day?"
555,"What tends to make you curious?"
556,"What do you most enjoy learning about outside medicine?"
557,"What is one thing people often misunderstand about you?"
558,"What do you think your friends would say is your most noticeable characteristic?"
559,"Can you describe when you have shown courage?"
560,"Can you describe when you have shown kindness?"
561,"Can you describe when you have demonstrated integrity?"
562,"Why do you want to study medicine and become a doctor?"
563,"Which experience most challenged or strengthened your motivation, and what did you learn from it?"
564,"Why does the role of a doctor suit you, and how have you explored its challenges and other healthcare careers?"
565,"Tell me about an experience that helped you understand caring for others. What did you learn?"
566,"Describe teamwork or communication you observed. How could you apply that learning?"
567,"What surprised you about healthcare, and how has it changed your expectations of medicine?"
568,"How should medical schools ensure disabled applicants have a fair opportunity to study medicine?"
569,"How would you approach reasonable adjustments while maintaining essential professional competencies and patient safety?"
570,"An applicant is judged on assumptions about their disability. How should the admissions team respond?"
571,"What do equality, diversity and inclusion mean to you in medicine?"
572,"Can you give an example where equitable care requires treating patients differently?"
573,"How would you respond if you witnessed a discriminatory remark during a placement?"
574,"What opportunities and concerns do medicines such as Ozempic raise for healthcare and society?"
575,"How would you discuss evidence, risks, stigma and fair access without assuming a medicine is suitable for everyone?"
576,"What information would you check before making claims about indications, availability or long-term outcomes?"
577,"A friend asks you about a patient you met on work experience. How would you respond?"
578,"What would you do if you believed someone might be at risk of serious harm?"
579,"Who would you seek support from, and how would you explain your approach to the patient?"
580,"How do long waiting lists affect patients, staff and the wider health service?"
581,"How should a service balance clinical urgency with fairness when prioritising patients?"
582,"What would you consider when evaluating a proposal to reduce waiting times?"
583,"Tell me about a disagreement in a team and how you approached it."
584,"How did you make sure quieter members could contribute?"
585,"What would you do differently next time, and why?"
586,"Which experience most strengthened or challenged your motivation for medicine, and why?"
587,"How would you adapt if a teaching method at this university challenged your usual way of learning?"
588,"Tell me about something from your experience that changed your expectations of healthcare."
589,"Tell me about a setback and one change you made afterwards."
590,"How would you explain an unfamiliar process to someone who feels anxious?"
591,"Describe a time you helped a team succeed without being its leader."
592,"What would you do if a team member repeatedly interrupted someone else?"
593,"What feedback was difficult to hear, and how did you respond?"
594,"What can go wrong at the boundary between hospital and community care?"
595,"A colleague asks you to conceal a mistake. How would you respond?"
596,"How would you respond if an adult refused treatment that the team strongly recommended?"
597,"You notice a possible medication error while on placement. What would you do?"
598,"How should a medical school respond to assumptions about a disabled applicant's abilities?"
599,"What safeguards would you consider when discussing assisted dying?"
600,"What are the opportunities and limitations of an opt-out donation system?"
601,"Why can pressures in social care affect hospital waiting times?"
602,"When might treating every patient in exactly the same way be unfair?"
603,"Why might more screening not always lead to better health?"
604,"How should a health service decide whether to fund an expensive new treatment?"
605,"How can a service reduce waits while protecting patient safety and fairness?"
606,"What would make a shift from hospital to community care successful?"
607,"What would you need to know before trusting an AI system to support diagnosis?"
608,"How should the NHS balance demand, evidence and fair access to weight-management medicines?"
609,"What questions would you ask about a headline claiming a new treatment is a breakthrough?"
610,"What should a hospital consider before introducing a new professional role?"
611,"What can the Bawa-Garba case teach us about patient safety and accountability?"
612,"Which lessons from COVID-19 would you prioritise for the next pandemic?"
613,"What could a health service do to reduce barriers to mental healthcare?"
614,"What ethical questions can arise when a genetic result also matters to a patient's family?"
615,"Why does antimicrobial resistance require action beyond individual doctors?"
616,"How would you approach a conversation with someone who is unsure about vaccination?"
617,"How can public-health policy balance harm reduction with preventing youth vaping?"
618,"Why should climate change be part of a discussion about health inequalities?"
619,"How would you evaluate a plan to make all appointment booking digital?"
620,"A risk falls from 2 in 100 to 1 in 100. Explain the change in two different ways."
621,"What would make you cautious about applying a trial result to every patient?"
622,"What information would make you change your mind about a healthcare policy you currently support?"
623,"Help a worried peer who thinks a recent setback means they cannot succeed."
624,"How would you help a group reach a decision when time is running out?"
625,"How would you prioritise several requests when one may involve immediate harm?"
626,"What is one belief you have reconsidered, and what changed your view?"
627,"If you could introduce one change to improve your community's health, what would it be?"
628,"Why do you want to study medicine?"
629,"What experience helped you understand what being a doctor involves?"
630,"What challenges do you expect, and how would you manage them?"
631,"Tell us about an experience that changed your understanding of healthcare."
632,"What did you learn about teamwork and communication?"
633,"How will you apply that learning as a medical student?"
634,"How should medical schools support disabled applicants and students while maintaining safe professional standards?"
635,"How would you approach reasonable adjustments, fairness and patient safety?"
636,"What assumptions should an admissions team avoid?"
637,"What do equality, diversity and inclusion mean in healthcare?"
638,"Describe how a doctor could respond to discrimination within a team."
639,"How can fair access and individual patient needs be considered together?"
640,"What ethical issues arise when discussing Ozempic and other medicines used for weight management?"
641,"How would you weigh equitable access, individual circumstances and limited resources?"
642,"How would you discuss a public health headline while recognising the limits of your knowledge?"
